Button,Time
"[['1', 340.60733699798584]]",1555957777.519026
"[['2', 413.2411561012268]]",1555957854.027145
"[['1', 623.7155179977417]]",1555958060.62707
"[['4', 63.62627410888672]]",1555958271.328648
"[['1', 225.69712209701538]]",1555958817.05579
"[['3', 200.19726014137268]]",1555959128.741529
"[['1', 225.9089150428772]]",1555959571.57355
"[['1', 138.14253306388855]]",1555960273.184712
"[['function', 245.97855710983276]]",1555960379.169422
"[['space', 246.11716294288635]]",1555960379.265704
